hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.263881461Z level=info msg="Migration successfully executed" id="Update org_user table charset" duration=90.458탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.268637302Z level=info msg="Executing migration" id="Migrate all Read Only Viewers to Viewers"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.268932918Z level=info msg="Migration successfully executed" id="Migrate all Read Only Viewers to Viewers" duration=296.906탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.273929654Z level=info msg="Executing migration" id="create dashboard table"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.274841874Z level=info msg="Migration successfully executed" id="create dashboard table" duration=873.236탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.279190314Z level=info msg="Executing migration" id="add index dashboard.account_id"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.279861382Z level=info msg="Migration successfully executed" id="add index dashboard.account_id" duration=672.989탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.28567252Z level=info msg="Executing migration" id="add unique index dashboard_account_id_slug"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.28635556Z level=info msg="Migration successfully executed" id="add unique index dashboard_account_id_slug" duration=684.52탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.290646704Z level=info msg="Executing migration" id="create dashboard_tag table"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.291381999Z level=info msg="Migration successfully executed" id="create dashboard_tag table" duration=735.064탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.295165109Z level=info msg="Executing migration" id="add unique index dashboard_tag.dasboard_id_term"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.295821847Z level=info msg="Migration successfully executed" id="add unique index dashboard_tag.dasboard_id_term" duration=658.678탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.299508129Z level=info msg="Executing migration" id="drop index UQE_dashboard_tag_dashboard_id_term - v1"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.300240823Z level=info msg="Migration successfully executed" id="drop index UQE_dashboard_tag_dashboard_id_term - v1" duration=733.394탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.303947537Z level=info msg="Executing migration" id="Rename table dashboard to dashboard_v1 - v1"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.306786694Z level=info msg="Migration successfully executed" id="Rename table dashboard to dashboard_v1 - v1" duration=2.837718ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.31107846Z level=info msg="Executing migration" id="create dashboard v2"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.31165157Z level=info msg="Migration successfully executed" id="create dashboard v2" duration=574.62탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.315369575Z level=info msg="Executing migration" id="create index IDX_dashboard_org_id - v2"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.316041254Z level=info msg="Migration successfully executed" id="create index IDX_dashboard_org_id - v2" duration=672.938탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.319895921Z level=info msg="Executing migration" id="create index UQE_dashboard_org_id_slug - v2"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.320644216Z level=info msg="Migration successfully executed" id="create index UQE_dashboard_org_id_slug - v2" duration=738.935탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.324481951Z level=info msg="Executing migration" id="copy dashboard v1 to v2"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.324848343Z level=info msg="Migration successfully executed" id="copy dashboard v1 to v2" duration=368.152탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.328572669Z level=info msg="Executing migration" id="drop table dashboard_v1"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.329297422Z level=info msg="Migration successfully executed" id="drop table dashboard_v1" duration=725.014탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.333093554Z level=info msg="Executing migration" id="alter dashboard.data to mediumtext v1"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.33316008Z level=info msg="Migration successfully executed" id="alter dashboard.data to mediumtext v1" duration=69.036탎
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.337378408Z level=info msg="Executing migration" id="Add column updated_by in dashboard - v2"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.338558021Z level=info msg="Migration successfully executed" id="Add column updated_by in dashboard - v2" duration=1.180823ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.342343852Z level=info msg="Executing migration" id="Add column created_by in dashboard - v2"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.343631665Z level=info msg="Migration successfully executed" id="Add column created_by in dashboard - v2" duration=1.279412ms
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.347620023Z level=info msg="Executing migration" id="Add column gnetId in dashboard"
hw25-grafana  | logger=migrator t=2026-03-29T19:13:30.348780874Z level=info msg="Migration successfully executed" id="Add column gnetId in dashboard" duration=1.162351ms
